source_path,processed_path,dataset,original_sr,target_sr,original_channels,original_duration_sec,processed_duration_sec,trim_start_sample,trim_end_sample,peak_before_norm,peak_after_norm,rms_after,file_clipped_samples,num_segments,is_processed,reason
data\raw_sources\mendeley_poultry_vocalization\Healthy\1.wav,data\processed_sources\mendeley_poultry_vocalization\Healthy\1.wav,mendeley_poultry_vocalization,48000,48000,1,14.510104166666666,14.510104166666666,0.0,696485.0,0.7274039387702942,0.949999988079071,0.05986971780657768,0.0,3,True,ok
data\raw_sources\mendeley_poultry_vocalization\Healthy\10.wav,data\processed_sources\mendeley_poultry_vocalization\Healthy\10.wav,mendeley_poultry_vocalization,48000,48000,1,37.898375,37.898375,0.0,1819122.0,0.22455434501171112,0.949999988079071,0.08091111481189728,0.0,8,True,ok
data\raw_sources\mendeley_poultry_vocalization\Healthy\100.wav,data\processed_sources\mendeley_poultry_vocalization\Healthy\100.wav,mendeley_poultry_vocalization,48000,48000,1,34.74789583333333,34.74789583333333,0.0,1667899.0,0.5003708600997925,0.949999988079071,0.05935109406709671,0.0,7,True,ok
data\raw_sources\mendeley_poultry_vocalization\Healthy\101.wav,data\processed_sources\mendeley_poultry_vocalization\Healthy\101.wav,mendeley_poultry_vocalization,48000,48000,1,10.575458333333334,10.575458333333334,0.0,507622.0,0.15211278200149536,0.949999988079071,0.246278315782547,0.0,2,True,ok
data\raw_sources\mendeley_poultry_vocalization\Healthy\102.wav,data\processed_sources\mendeley_poultry_vocalization\Healthy\102.wav,mendeley_poultry_vocalization,48000,48000,1,12.841625,12.841625,0.0,616398.0,0.22301340103149414,0.949999988079071,0.17318163812160492,0.0,3,True,ok
data\raw_sources\mendeley_poultry_vocalization\Healthy\103.wav,data\processed_sources\mendeley_poultry_vocalization\Healthy\103.wav,mendeley_poultry_vocalization,48000,48000,1,6.7985,6.7985,0.0,326328.0,0.12211712449789047,0.949999988079071,0.25779056549072266,0.0,2,True,ok
data\raw_sources\mendeley_poultry_vocalization\Healthy\104.wav,data\processed_sources\mendeley_poultry_vocalization\Healthy\104.wav,mendeley_poultry_vocalization,48000,48000,1,19.640125,19.640125,0.0,942726.0,0.09977041929960251,0.949999988079071,0.257596492767334,0.0,4,True,ok
data\raw_sources\mendeley_poultry_vocalization\Healthy\105.wav,data\processed_sources\mendeley_poultry_vocalization\Healthy\105.wav,mendeley_poultry_vocalization,48000,48000,1,59.67572916666666,59.67572916666666,0.0,2864435.0,0.2697690725326538,0.949999988079071,0.09531957656145096,0.0,12,True,ok
data\raw_sources\mendeley_poultry_vocalization\Healthy\106.wav,data\processed_sources\mendeley_poultry_vocalization\Healthy\106.wav,mendeley_poultry_vocalization,48000,48000,1,24.927854166666666,24.927854166666666,0.0,1196537.0,0.11250095814466476,0.949999988079071,0.22446347773075104,0.0,5,True,ok
data\raw_sources\mendeley_poultry_vocalization\Healthy\107.wav,data\processed_sources\mendeley_poultry_vocalization\Healthy\107.wav,mendeley_poultry_vocalization,48000,48000,1,9.8200625,9.8200625,0.0,471363.0,0.0934813916683197,0.949999988079071,0.2603501081466675,0.0,2,True,ok
