mic_i,mic_j,pair,theory_tdoa_sec,theory_tdoa_samples,theory_tdoa_round_samples,quantization_error_samples,est_tdoa_sec_raw,est_tdoa_samples_raw,gcc_peak_value,sign_correction,est_tdoa_sec,est_tdoa_samples,error_sec,error_samples,abs_error_samples,abs_error_sec,pass_le_1_sample,is_main_pair
M02,M08,M02-M08,-0.0013621770352993886,-65.38449769437065,-65,0.3844976943706513,-0.0013668159418157959,-65.6071652071582,0.02999632559885799,1.0,-0.0013668159418157959,-65.6071652071582,-4.638906516407247e-06,-0.22266751278755237,0.22266751278755237,4.638906516407247e-06,True,True
M02,M04,M02-M04,-0.0001299700710596847,-6.238563410864866,-6,0.23856341086486577,-0.00013545958559845226,-6.502060108725709,0.02921814647282586,1.0,-0.00013545958559845226,-6.502060108725709,-5.489514538767565e-06,-0.26349669786084284,0.26349669786084284,5.489514538767565e-06,True,False
M03,M04,M03-M04,0.0010992556184181875,52.764269684073,53,0.23573031592700033,0.0010938233102451415,52.50351889176679,0.029232899866660614,1.0,0.0010938233102451415,52.50351889176679,-5.432308173045986e-06,-0.26075079230621157,0.26075079230621157,5.432308173045986e-06,True,False
M03,M08,M03-M08,-0.00013295134582151646,-6.38166459943279,-6,0.3816645994327903,-0.00013753332065206343,-6.601599391299044,0.03001239843529563,1.0,-0.00013753332065206343,-6.601599391299044,-4.581974830546962e-06,-0.21993479186625375,0.21993479186625375,4.581974830546962e-06,True,False
M02,M05,M02-M05,-0.0011269683151765894,-54.09447912847629,-54,0.09447912847628714,-0.0011308457528426351,-54.28059613644648,0.02908251195848774,1.0,-0.0011308457528426351,-54.28059613644648,-3.87743766604577e-06,-0.18611700797019637,0.18611700797019637,3.87743766604577e-06,True,False
M03,M05,M03-M05,0.0001022573743012828,4.908353966461575,5,0.09164603353842526,9.844002742243697e-05,4.725121316276975,0.029091649567312274,1.0,9.844002742243697e-05,4.725121316276975,-3.817346878845832e-06,-0.18323265018459978,0.18323265018459978,3.817346878845832e-06,True,False
M01,M02,M01-M02,0.00031439218316967965,15.090824792144623,15,-0.09082479214462325,0.00031815946459855997,15.271654300730878,0.02914224566036743,1.0,0.00031815946459855997,15.271654300730878,3.767281428880315e-06,0.18082950858625502,0.18082950858625502,3.767281428880315e-06,True,False
M01,M03,M01-M03,-0.0009148335063081925,-43.91200830279324,-44,-0.08799169720676048,-0.000911126056321527,-43.7340507034333,0.029146382037734852,1.0,-0.000911126056321527,-43.7340507034333,3.70744998666548e-06,0.17795759935994226,0.17795759935994226,3.70744998666548e-06,True,False
M02,M07,M02-M07,-0.0002726003633445337,-13.084817440537618,-13,0.08481744053761808,-0.00027617261533178144,-13.256285535925509,0.029272883356048853,1.0,-0.00027617261533178144,-13.256285535925509,-3.5722519872477174e-06,-0.17146809538789043,0.17146809538789043,3.5722519872477174e-06,True,False
M02,M06,M02-M06,-0.0005308456533248021,-25.480591359590502,-25,0.4805913595905018,-0.000534397035641894,-25.65105771081091,0.030366035869616073,1.0,-0.000534397035641894,-25.65105771081091,-3.5513823170919053e-06,-0.17046635122040854,0.17046635122040854,3.5513823170919053e-06,True,False
