scene_id,source_id,experiment_id,variable,value,source_count,mic_layout,num_mics,num_pairs,rt60,snr,scene_type,grid_spacing_m,search_plane_z,source_plane_z,true_x,true_y,true_z,pred_x,pred_y,pred_z,error_cm,hit_10cm,hit_20cm,score,srp_peak_score,matched,seed,noise_seed
scene_0001,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.91315373790865,0.24987425323090112,0.35,0.9000000000000001,0.3400000000000001,0.35,9.10805745022351,True,True,0.6427811351320658,0.6427811351320658,True,20260627,20300627
scene_0002,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.28490299279029135,0.15044814792901381,0.35,0.30000000000000004,0.16000000000000003,0.35,1.7864979839787112,True,True,0.5920780847099788,0.5920780847099788,True,20260628,20300628
scene_0003,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.9606201638731728,0.5449016856152197,0.35,1.0800000000000003,0.36000000000000004,0.35,22.00912960955469,False,False,0.6084618670538146,0.6084618670538146,False,20260629,20300629
scene_0004,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.4116381790591716,0.5823789933975991,0.35,0.4400000000000001,0.64,0.35,6.42228408664203,True,True,0.6342129305988823,0.6342129305988823,True,20260630,20300630
scene_0005,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,1.0196204002269478,0.6159782749667391,0.35,1.0400000000000003,0.54,0.35,7.866400926618986,True,True,0.6286476155807144,0.6286476155807144,True,20260631,20300631
scene_0006,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,1.094307653923706,0.5733269789091149,0.35,1.1200000000000003,0.5800000000000001,0.35,2.654478964662322,True,True,0.720937915450188,0.720937915450188,True,20260632,20300632
scene_0007,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.8509747096579159,0.4141621795610436,0.35,0.22000000000000003,0.38000000000000006,0.35,63.18988358434064,False,False,0.5896796573721867,0.5896796573721867,False,20260633,20300633
scene_0008,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.2305753021619123,0.4509116197272055,0.35,0.6000000000000001,0.38000000000000006,0.35,37.61689317116689,False,False,0.6855514783789336,0.6855514783789336,False,20260634,20300634
scene_0009,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.5220358238642889,0.4679121573325631,0.35,0.5800000000000001,0.4000000000000001,0.35,8.92855353831433,True,True,0.5619538960301322,0.5619538960301322,True,20260635,20300635
scene_0010,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,1.0224518580646798,0.6523153775791968,0.35,0.9800000000000001,0.66,0.35,4.314178571749226,True,True,0.6754389428359358,0.6754389428359358,True,20260636,20300636
scene_0011,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.09847315520396024,0.283491514796888,0.35,0.08,0.3400000000000001,0.35,5.945137814331926,True,True,0.5326871185801819,0.5326871185801819,True,20260637,20300637
scene_0012,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.4495819301539913,0.4288512450144497,0.35,0.4400000000000001,0.36000000000000004,0.35,6.951479932730688,True,True,0.672703214612696,0.672703214612696,True,20260638,20300638
scene_0013,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.45163029930715287,0.113007526181993,0.35,0.4400000000000001,0.08,0.35,3.499658049908464,True,True,0.6662344619314822,0.6662344619314822,True,20260639,20300639
