scene_id,experiment_id,variable,value,source_count,mic_layout,num_mics,num_pairs,rt60,snr,grid_spacing_m,source_plane_z,search_plane_z,source_distance_cm,true1_x,true1_y,true2_x,true2_y,pred1_x,pred1_y,pred1_score,pred2_x,pred2_y,pred2_score,match1_error_cm,match2_error_cm,mean_error_cm,max_error_cm,num_true_sources,num_pred_peaks,num_hit,both_hit,miss_count,false_alarm_count,num_active_frames,frame_starts_sec,seed,noise_seed,hit_radius_m,min_pred_pair_distance_m,density_sigma_m,cluster_sigma_m,density_weight,cluster_prior_weight,hybrid_score_gamma,peak_threshold_rel,nms_radius_m,max_peak_candidates,frame_sec,hop_sec,max_active_frames,min_frame_gap_sec,energy_threshold_rel,cluster_trim_radius_m
day4_scene_0001,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,74.6817519580811,0.19377089176082304,0.46422080222562817,0.9270122305724858,0.6059725098362079,0.9400000000000002,0.54,1.0,0.2,0.38000000000000006,0.4272074554148796,8.445084556701458,6.72387850038266,7.584481528542058,8.445084556701458,2,2,2,True,0,0,5,0.070;0.210;0.455;0.595;0.735,20260628,21060628,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.12,0.06,0.12
day4_scene_0002,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,92.30398987431813,0.27347768290746255,0.16764442587013825,1.0822432976344138,0.6125048928787938,1.1000000000000003,0.6200000000000001,1.0,0.26000000000000006,0.18000000000000002,0.30178415724073476,1.8284095510377751,1.9273741454589994,1.8778918482483873,1.9273741454589994,2,2,2,True,0,0,5,0.070;0.210;0.455;0.595;0.735,20260629,21060629,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.12,0.06,0.12
day4_scene_0003,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,43.12239796010321,0.49775594042356636,0.38993954406434933,0.08200548352092384,0.504419577992521,0.12000000000000001,0.4800000000000001,1.0,0.5800000000000001,0.38000000000000006,0.07148817054782317,8.284250039574564,4.516524185489992,6.400387112532278,8.284250039574564,2,2,2,True,0,0,5,0.070;0.210;0.455;0.595;0.735,20260630,21060630,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.12,0.06,0.12
day4_scene_0004,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,73.40243472233338,0.39505153909355634,0.3008602444823998,1.1083520605795234,0.12767217224736224,1.1200000000000003,0.14,1.0,0.4200000000000001,0.32000000000000006,0.8267335723423432,3.144448986506003,1.6960242623317818,2.420236624418892,3.144448986506003,2,2,2,True,0,0,5,0.070;0.210;0.455;0.595;0.735,20260631,21060631,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.12,0.06,0.12
day4_scene_0005,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,46.43212899031214,0.28104153557686534,0.34630233892072054,0.7227867137248586,0.48932491699948477,0.68,0.52,1.0,0.3400000000000001,0.36000000000000004,0.6930055447432706,6.052872414132692,5.264659142301141,5.6587657782169165,6.052872414132692,2,2,2,True,0,0,5,0.070;0.210;0.455;0.595;0.735,20260632,21060632,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.12,0.06,0.12
day4_scene_0006,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,74.94968699163232,0.793905973624058,0.22991458269908527,0.09175400777419987,0.49207517254345035,0.8200000000000001,0.24000000000000005,1.0,0.08,0.52,0.5979657706783649,2.797523645372726,3.029773402804278,2.9136485240885017,3.029773402804278,2,2,2,True,0,0,5,0.070;0.210;0.455;0.595;0.735,20260633,21060633,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.12,0.06,0.12
day4_scene_0007,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,35.03508657167696,0.8129246023740273,0.577305042326408,0.8361299934031425,0.22772352259792494,0.8200000000000001,0.5000000000000001,1.0,0.4200000000000001,0.52,0.8853610141588887,7.762815739571137,50.85171684931248,29.30726629444181,50.85171684931248,2,2,1,False,1,1,5,0.070;0.210;0.455;0.595;0.735,20260634,21060634,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.12,0.06,0.12
day4_scene_0008,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,41.729195257243134,0.19416208577310454,0.5006059137914908,0.4883638386812078,0.20467027506659563,0.4800000000000001,0.2,1.0,0.12000000000000001,0.64,0.2961190121048563,15.789466816875933,0.9579418911548399,8.373704354015386,15.789466816875933,2,2,1,False,1,1,5,0.070;0.210;0.455;0.595;0.735,20260635,21060635,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.12,0.06,0.12
day4_scene_0009,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,46.54087130163792,0.1790040163511909,0.26043676973821217,0.49087898504417155,0.6058919391224823,0.54,0.54,1.0,1.1200000000000003,0.3400000000000001,0.11271784710784277,94.43536143060399,8.218650589732864,51.327006010168425,94.43536143060399,2,2,1,False,1,1,5,0.070;0.210;0.455;0.595;0.735,20260636,21060636,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.12,0.06,0.12
day4_scene_0010,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,41.58292634470194,0.642552515359218,0.40827596706645086,0.22784581727414116,0.37774187297044776,0.22000000000000003,0.38000000000000006,1.0,0.6200000000000001,0.4000000000000001,0.4149816665577306,2.4023063499744075,0.8164311751813872,1.6093687625778974,2.4023063499744075,2,2,2,True,0,0,5,0.070;0.210;0.455;0.595;0.735,20260637,21060637,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.12,0.06,0.12
