scene_index,layout,num_mics,rt60_sec,snr_db,source_mode,true_x,true_y,true_z,est_x,est_y,est_z,localization_error_m,localization_error_cm,srp_peak_score,mic0_si_sdr_db,das_true_si_sdr_db,das_est_si_sdr_db,das_true_si_sdri_db,das_est_si_sdri_db,mic0_snr_ref_db,das_true_snr_ref_db,das_est_snr_ref_db,das_true_snr_improvement_db,das_est_snr_improvement_db,mic0_align_lag_samples,das_true_align_lag_samples,das_est_align_lag_samples,mic0_audio,das_true_audio,das_est_audio,das_true_clean_reference_audio,das_est_clean_reference_audio,compare_figure,metadata
0,mic_8,8,0.3,20.0,probe,0.4691387305763557,0.645049200780388,0.35,0.4800000000000001,0.66,0.35,0.018479544658842263,1.8479544658842262,0.5805470291242466,19.793866760666397,27.74233889277893,26.895320641723835,7.948472132112531,7.101453881057438,19.793677404374435,27.741016802598075,26.893836903396362,7.94733939822364,7.1001594990219274,0,0,0,results\week3\day1\das\audio\scene_000\mic0_single.wav,results\week3\day1\das\audio\scene_000\das_true_position.wav,results\week3\day1\das\audio\scene_000\das_est_position.wav,results\week3\day1\das\audio\scene_000\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_000\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_000\spectrogram_compare.png,results\week3\day1\das\scenes\scene_000\metadata.json
1,mic_8,8,0.3,20.0,probe,0.4657072218437981,0.3325758177871359,0.35,0.4600000000000001,0.32000000000000006,0.35,0.013810270605225937,1.3810270605225936,0.5789207746473868,20.01318436881691,26.750473757485903,27.042510692743665,6.737289388668994,7.029326323926757,20.0054747218945,26.120856092507907,26.365092207384958,6.115381370613406,6.359617485490457,0,0,0,results\week3\day1\das\audio\scene_001\mic0_single.wav,results\week3\day1\das\audio\scene_001\das_true_position.wav,results\week3\day1\das\audio\scene_001\das_est_position.wav,results\week3\day1\das\audio\scene_001\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_001\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_001\spectrogram_compare.png,results\week3\day1\das\scenes\scene_001\metadata.json
2,mic_8,8,0.3,20.0,probe,0.7581535872555113,0.2991245832434418,0.35,0.7600000000000001,0.38000000000000006,0.35,0.08089649112025807,8.089649112025807,0.54540343975702,19.78227170187645,27.237587989983837,27.012537648500178,7.455316288107387,7.230265946623728,19.60247955334936,25.380263000897475,25.24154857054903,5.777783447548114,5.639069017199667,0,0,0,results\week3\day1\das\audio\scene_002\mic0_single.wav,results\week3\day1\das\audio\scene_002\das_true_position.wav,results\week3\day1\das\audio\scene_002\das_est_position.wav,results\week3\day1\das\audio\scene_002\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_002\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_002\spectrogram_compare.png,results\week3\day1\das\scenes\scene_002\metadata.json
3,mic_8,8,0.3,20.0,probe,0.7953689928729236,0.41913869839011514,0.35,0.8000000000000002,0.4000000000000001,0.35,0.019691013256783574,1.9691013256783574,0.5770510710571043,20.010992663376,27.03519317310692,26.786272519968485,7.0242005097309175,6.775279856592483,20.00817111005475,27.034343380407535,26.78426032422543,7.0261722703527845,6.776089214170678,0,0,0,results\week3\day1\das\audio\scene_003\mic0_single.wav,results\week3\day1\das\audio\scene_003\das_true_position.wav,results\week3\day1\das\audio\scene_003\das_est_position.wav,results\week3\day1\das\audio\scene_003\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_003\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_003\spectrogram_compare.png,results\week3\day1\das\scenes\scene_003\metadata.json
4,mic_8,8,0.3,20.0,probe,1.0981809120736328,0.5303264192339444,0.35,1.1200000000000003,0.52,0.35,0.0241393357848499,2.4139335784849902,0.6086939072084694,19.49822825790188,27.976171535480603,27.592603247131944,8.477943277578724,8.094374989230065,19.52335371609327,27.977860592076446,27.596415272141407,8.454506875983178,8.073061556048138,0,0,0,results\week3\day1\das\audio\scene_004\mic0_single.wav,results\week3\day1\das\audio\scene_004\das_true_position.wav,results\week3\day1\das\audio\scene_004\das_est_position.wav,results\week3\day1\das\audio\scene_004\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_004\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_004\spectrogram_compare.png,results\week3\day1\das\scenes\scene_004\metadata.json
5,mic_8,8,0.3,20.0,probe,0.6137468256001841,0.38835945938498756,0.35,0.6000000000000001,0.38000000000000006,0.35,0.016088995471785387,1.6088995471785388,0.6824564395621494,19.713169873581858,26.713474180462047,26.397202774266727,7.000304306880189,6.684032900684869,19.747009913348553,26.68735333602806,26.37599330778372,6.940343422679508,6.628983394435167,0,0,0,results\week3\day1\das\audio\scene_005\mic0_single.wav,results\week3\day1\das\audio\scene_005\das_true_position.wav,results\week3\day1\das\audio\scene_005\das_est_position.wav,results\week3\day1\das\audio\scene_005\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_005\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_005\spectrogram_compare.png,results\week3\day1\das\scenes\scene_005\metadata.json
6,mic_8,8,0.3,20.0,probe,0.13378559662631442,0.296074170948957,0.35,0.08,0.38000000000000006,0.35,0.0996816692594657,9.96816692594657,0.5249530203113162,20.486500181956995,26.772282921869444,26.890417381280223,6.285782739912449,6.403917199323228,20.523193911649397,26.647287048379145,26.760694197349842,6.124093136729748,6.237500285700445,0,0,0,results\week3\day1\das\audio\scene_006\mic0_single.wav,results\week3\day1\das\audio\scene_006\das_true_position.wav,results\week3\day1\das\audio\scene_006\das_est_position.wav,results\week3\day1\das\audio\scene_006\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_006\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_006\spectrogram_compare.png,results\week3\day1\das\scenes\scene_006\metadata.json
7,mic_8,8,0.3,20.0,probe,0.14983558374319106,0.4743472100991239,0.35,0.08,0.4200000000000001,0.35,0.08849083569675763,8.849083569675763,0.5735140777619657,20.293688621654454,26.706229661532994,27.14386958964042,6.4125410398785405,6.850180967985967,20.295769821852122,26.707916909273397,27.14490050381948,6.412147087421275,6.849130681967356,0,0,0,results\week3\day1\das\audio\scene_007\mic0_single.wav,results\week3\day1\das\audio\scene_007\das_true_position.wav,results\week3\day1\das\audio\scene_007\das_est_position.wav,results\week3\day1\das\audio\scene_007\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_007\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_007\spectrogram_compare.png,results\week3\day1\das\scenes\scene_007\metadata.json
8,mic_8,8,0.3,20.0,probe,0.7758112953362737,0.43147735775749413,0.35,0.8000000000000002,0.4200000000000001,0.35,0.026773553637918352,2.6773553637918353,0.5679999250173194,19.47210243502087,28.048609891893477,27.38994343052184,8.576507456872609,7.9178409955009705,19.494402524637138,27.277202907053336,26.743223573604887,7.782800382416198,7.2488210489677485,0,0,0,results\week3\day1\das\audio\scene_008\mic0_single.wav,results\week3\day1\das\audio\scene_008\das_true_position.wav,results\week3\day1\das\audio\scene_008\das_est_position.wav,results\week3\day1\das\audio\scene_008\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_008\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_008\spectrogram_compare.png,results\week3\day1\das\scenes\scene_008\metadata.json
9,mic_8,8,0.3,20.0,probe,0.7002306377166375,0.6305040504047562,0.35,0.7000000000000001,0.64,0.35,0.009498750047861385,0.9498750047861385,0.5342927999993264,19.565950608566233,27.020881796022,26.649316071283906,7.454931187455767,7.083365462717673,19.574681919191057,27.026196327449053,26.654754268374358,7.451514408257996,7.0800723491833,0,0,0,results\week3\day1\das\audio\scene_009\mic0_single.wav,results\week3\day1\das\audio\scene_009\das_true_position.wav,results\week3\day1\das\audio\scene_009\das_est_position.wav,results\week3\day1\das\audio\scene_009\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_009\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_009\spectrogram_compare.png,results\week3\day1\das\scenes\scene_009\metadata.json
